"","County","Year","Count_ExHeat_Days"
"25799","Durham",2020,36
"25800","Durham",2021,31
"25830","Durham",2008,43
"25831","Durham",2009,56
"25832","Durham",2010,83
"25833","Durham",2011,90
"25834","Durham",2012,62
"25835","Durham",2013,25
"25836","Durham",2014,56
"25837","Durham",2015,62
"25838","Durham",2016,55
"25839","Durham",2017,44
"25840","Durham",2018,57
"25841","Durham",2019,56
"25842","Durham",2020,37
"25843","Durham",2021,42
"25873","Durham",2008,43
"25874","Durham",2009,56
"25875","Durham",2010,83
"25876","Durham",2011,90
"25877","Durham",2012,62
"25878","Durham",2013,25
"25879","Durham",2014,56
"25880","Durham",2015,62
"25881","Durham",2016,55
"25882","Durham",2017,44
"25883","Durham",2018,57
"25884","Durham",2019,56
"25885","Durham",2020,37
"25886","Durham",2021,42
"25916","Durham",2008,43
"25917","Durham",2009,56
"25918","Durham",2010,83
"25919","Durham",2011,87
"25920","Durham",2012,61
"25921","Durham",2013,25
"25922","Durham",2014,54
"25923","Durham",2015,61
"25924","Durham",2016,51
"25925","Durham",2017,45
"25926","Durham",2018,53
"25927","Durham",2019,54
"25928","Durham",2020,36
"25929","Durham",2021,38
"25959","Edgecombe",2008,47
"25960","Edgecombe",2009,53
"25961","Edgecombe",2010,82
"25962","Edgecombe",2011,74
"25963","Edgecombe",2012,55
"25964","Edgecombe",2013,23
"25965","Edgecombe",2014,55
"25966","Edgecombe",2015,54
"25967","Edgecombe",2016,46
"25968","Edgecombe",2017,28
"25969","Edgecombe",2018,43
"25970","Edgecombe",2019,62
"25971","Edgecombe",2020,36
"25972","Edgecombe",2021,34
"26002","Edgecombe",2008,46
"26003","Edgecombe",2009,53
"26004","Edgecombe",2010,81
"26005","Edgecombe",2011,74
"26006","Edgecombe",2012,54
"26007","Edgecombe",2013,25
"26008","Edgecombe",2014,55
"26009","Edgecombe",2015,53
"26010","Edgecombe",2016,46
"26011","Edgecombe",2017,26
"26012","Edgecombe",2018,42
"26013","Edgecombe",2019,62
"26014","Edgecombe",2020,37
"26015","Edgecombe",2021,34
"26045","Edgecombe",2008,46
"26046","Edgecombe",2009,52
"26047","Edgecombe",2010,82
"26048","Edgecombe",2011,74
"26049","Edgecombe",2012,54
"26050","Edgecombe",2013,25
"26051","Edgecombe",2014,55
"26052","Edgecombe",2015,52
"26053","Edgecombe",2016,46
"26054","Edgecombe",2017,26
"26055","Edgecombe",2018,41
"26056","Edgecombe",2019,63
"26057","Edgecombe",2020,37
"26058","Edgecombe",2021,34
"26088","Edgecombe",2008,47
"26089","Edgecombe",2009,53
"26090","Edgecombe",2010,83
"26091","Edgecombe",2011,73
"26092","Edgecombe",2012,54
"26093","Edgecombe",2013,26
"26094","Edgecombe",2014,56
"26095","Edgecombe",2015,51
"26096","Edgecombe",2016,45
"26097","Edgecombe",2017,26
"26098","Edgecombe",2018,38
"26099","Edgecombe",2019,64
"26100","Edgecombe",2020,37
"26101","Edgecombe",2021,34
"26131","Edgecombe",2008,48
"26132","Edgecombe",2009,51
"26133","Edgecombe",2010,82
"26134","Edgecombe",2011,72
"26135","Edgecombe",2012,54
"26136","Edgecombe",2013,28
"26137","Edgecombe",2014,56
"26138","Edgecombe",2015,49
"26139","Edgecombe",2016,44
"26140","Edgecombe",2017,25
"26141","Edgecombe",2018,37
"26142","Edgecombe",2019,65
"26143","Edgecombe",2020,37
"26144","Edgecombe",2021,33
"26174","Edgecombe",2008,45
"26175","Edgecombe",2009,60
"26176","Edgecombe",2010,81
"26177","Edgecombe",2011,73
"26178","Edgecombe",2012,46
"26179","Edgecombe",2013,28
"26180","Edgecombe",2014,52
"26181","Edgecombe",2015,43
"26182","Edgecombe",2016,45
"26183","Edgecombe",2017,22
"26184","Edgecombe",2018,32
"26185","Edgecombe",2019,62
"26186","Edgecombe",2020,35
"26187","Edgecombe",2021,30
"26217","Edgecombe",2008,46
"26218","Edgecombe",2009,58
"26219","Edgecombe",2010,80
"26220","Edgecombe",2011,73
"26221","Edgecombe",2012,49
"26222","Edgecombe",2013,28
"26223","Edgecombe",2014,54
"26224","Edgecombe",2015,46
"26225","Edgecombe",2016,45
"26226","Edgecombe",2017,25
"26227","Edgecombe",2018,33
"26228","Edgecombe",2019,64
"26229","Edgecombe",2020,36
"26230","Edgecombe",2021,34
"26260","Edgecombe",2008,46
"26261","Edgecombe",2009,55
"26262","Edgecombe",2010,81
"26263","Edgecombe",2011,73
"26264","Edgecombe",2012,50
"26265","Edgecombe",2013,27
"26266","Edgecombe",2014,55
"26267","Edgecombe",2015,47
"26268","Edgecombe",2016,45
"26269","Edgecombe",2017,25
"26270","Edgecombe",2018,33
"26271","Edgecombe",2019,64
"26272","Edgecombe",2020,36
"26273","Edgecombe",2021,34
"26303","Edgecombe",2008,46
"26304","Edgecombe",2009,55
"26305","Edgecombe",2010,81
"26306","Edgecombe",2011,73
"26307","Edgecombe",2012,50
"26308","Edgecombe",2013,27
"26309","Edgecombe",2014,55
"26310","Edgecombe",2015,47
"26311","Edgecombe",2016,45
"26312","Edgecombe",2017,25
"26313","Edgecombe",2018,33
"26314","Edgecombe",2019,64
"26315","Edgecombe",2020,36
"26316","Edgecombe",2021,34
"26346","Edgecombe",2008,46
"26347","Edgecombe",2009,55
"26348","Edgecombe",2010,81
"26349","Edgecombe",2011,73
"26350","Edgecombe",2012,50
"26351","Edgecombe",2013,27
"26352","Edgecombe",2014,55
"26353","Edgecombe",2015,47
"26354","Edgecombe",2016,45
"26355","Edgecombe",2017,25
"26356","Edgecombe",2018,33
"26357","Edgecombe",2019,64
"26358","Edgecombe",2020,36
"26359","Edgecombe",2021,34
"26389","Edgecombe",2008,47
"26390","Edgecombe",2009,56
"26391","Edgecombe",2010,83
"26392","Edgecombe",2011,73
"26393","Edgecombe",2012,50
"26394","Edgecombe",2013,25
"26395","Edgecombe",2014,55
"26396","Edgecombe",2015,49
"26397","Edgecombe",2016,45
"26398","Edgecombe",2017,26
"26399","Edgecombe",2018,34
"26400","Edgecombe",2019,63
"26401","Edgecombe",2020,36
"26402","Edgecombe",2021,34
"26432","Edgecombe",2008,47
"26433","Edgecombe",2009,61
"26434","Edgecombe",2010,81
"26435","Edgecombe",2011,73
"26436","Edgecombe",2012,50
"26437","Edgecombe",2013,25
"26438","Edgecombe",2014,53
"26439","Edgecombe",2015,51
"26440","Edgecombe",2016,47
"26441","Edgecombe",2017,25
"26442","Edgecombe",2018,38
"26443","Edgecombe",2019,61
"26444","Edgecombe",2020,36
"26445","Edgecombe",2021,31
"26475","Edgecombe",2008,46
"26476","Edgecombe",2009,61
"26477","Edgecombe",2010,80
"26478","Edgecombe",2011,73
"26479","Edgecombe",2012,48
"26480","Edgecombe",2013,25
"26481","Edgecombe",2014,52
"26482","Edgecombe",2015,48
"26483","Edgecombe",2016,47
"26484","Edgecombe",2017,24
"26485","Edgecombe",2018,36
"26486","Edgecombe",2019,61
"26487","Edgecombe",2020,35
"26488","Edgecombe",2021,29
"26518","Edgecombe",2008,45
"26519","Edgecombe",2009,65
"26520","Edgecombe",2010,79
"26521","Edgecombe",2011,74
"26522","Edgecombe",2012,47
"26523","Edgecombe",2013,23
"26524","Edgecombe",2014,51
"26525","Edgecombe",2015,42
"26526","Edgecombe",2016,45
"26527","Edgecombe",2017,20
"26528","Edgecombe",2018,32
"26529","Edgecombe",2019,60
"26530","Edgecombe",2020,32
"26531","Edgecombe",2021,29
"26561","Forsyth",2008,36
"26562","Forsyth",2009,19
"26563","Forsyth",2010,49
"26564","Forsyth",2011,72
"26565","Forsyth",2012,55
"26566","Forsyth",2013,8
"26567","Forsyth",2014,27
"26568","Forsyth",2015,53
"26569","Forsyth",2016,43
"26570","Forsyth",2017,19
"26571","Forsyth",2018,36
"26572","Forsyth",2019,27
"26573","Forsyth",2020,21
"26574","Forsyth",2021,21
"26604","Forsyth",2008,36
"26605","Forsyth",2009,19
"26606","Forsyth",2010,49
"26607","Forsyth",2011,72
"26608","Forsyth",2012,55
"26609","Forsyth",2013,8
"26610","Forsyth",2014,27
"26611","Forsyth",2015,53
"26612","Forsyth",2016,43
"26613","Forsyth",2017,19
"26614","Forsyth",2018,36
"26615","Forsyth",2019,27
"26616","Forsyth",2020,21
"26617","Forsyth",2021,21
"26647","Forsyth",2008,40
"26648","Forsyth",2009,21
"26649","Forsyth",2010,52
"26650","Forsyth",2011,74
"26651","Forsyth",2012,57
"26652","Forsyth",2013,9
"26653","Forsyth",2014,26
"26654","Forsyth",2015,53
"26655","Forsyth",2016,44
"26656","Forsyth",2017,20
"26657","Forsyth",2018,37
"26658","Forsyth",2019,33
"26659","Forsyth",2020,22
"26660","Forsyth",2021,23
"26690","Forsyth",2008,40
"26691","Forsyth",2009,21
"26692","Forsyth",2010,52
"26693","Forsyth",2011,74
"26694","Forsyth",2012,57
"26695","Forsyth",2013,9
"26696","Forsyth",2014,26
"26697","Forsyth",2015,53
"26698","Forsyth",2016,44
"26699","Forsyth",2017,20
"26700","Forsyth",2018,37
"26701","Forsyth",2019,33
"26702","Forsyth",2020,22
"26703","Forsyth",2021,23
"26733","Forsyth",2008,33
"26734","Forsyth",2009,17
"26735","Forsyth",2010,49
"26736","Forsyth",2011,71
"26737","Forsyth",2012,55
"26738","Forsyth",2013,9
"26739","Forsyth",2014,27
"26740","Forsyth",2015,53
"26741","Forsyth",2016,43
"26742","Forsyth",2017,19
"26743","Forsyth",2018,35
"26744","Forsyth",2019,25
"26745","Forsyth",2020,21
"26746","Forsyth",2021,20
"26776","Forsyth",2008,36
"26777","Forsyth",2009,19
"26778","Forsyth",2010,49
"26779","Forsyth",2011,72
"26780","Forsyth",2012,55
"26781","Forsyth",2013,8
"26782","Forsyth",2014,27
"26783","Forsyth",2015,53
"26784","Forsyth",2016,43
"26785","Forsyth",2017,19
"26786","Forsyth",2018,36
"26787","Forsyth",2019,27
"26788","Forsyth",2020,21
"26789","Forsyth",2021,21
"26819","Forsyth",2008,36
"26820","Forsyth",2009,19
"26821","Forsyth",2010,49
"26822","Forsyth",2011,72
"26823","Forsyth",2012,55
"26824","Forsyth",2013,8
"26825","Forsyth",2014,27
"26826","Forsyth",2015,53
"26827","Forsyth",2016,43
"26828","Forsyth",2017,19
"26829","Forsyth",2018,36
"26830","Forsyth",2019,27
"26831","Forsyth",2020,21
"26832","Forsyth",2021,21
"26862","Forsyth",2008,36
"26863","Forsyth",2009,19
"26864","Forsyth",2010,49
"26865","Forsyth",2011,72
"26866","Forsyth",2012,55
"26867","Forsyth",2013,8
"26868","Forsyth",2014,27
"26869","Forsyth",2015,53
"26870","Forsyth",2016,43
"26871","Forsyth",2017,19
"26872","Forsyth",2018,36
"26873","Forsyth",2019,27
"26874","Forsyth",2020,21
"26875","Forsyth",2021,21
"26905","Forsyth",2008,36
"26906","Forsyth",2009,19
"26907","Forsyth",2010,49
"26908","Forsyth",2011,72
"26909","Forsyth",2012,55
"26910","Forsyth",2013,8
"26911","Forsyth",2014,27
"26912","Forsyth",2015,53
"26913","Forsyth",2016,43
"26914","Forsyth",2017,19
"26915","Forsyth",2018,36
"26916","Forsyth",2019,27
"26917","Forsyth",2020,21
"26918","Forsyth",2021,21
"26948","Forsyth",2008,36
"26949","Forsyth",2009,19
"26950","Forsyth",2010,49
"26951","Forsyth",2011,72
"26952","Forsyth",2012,55
"26953","Forsyth",2013,8
"26954","Forsyth",2014,27
"26955","Forsyth",2015,53
"26956","Forsyth",2016,43
"26957","Forsyth",2017,19
"26958","Forsyth",2018,36
"26959","Forsyth",2019,27
"26960","Forsyth",2020,21
"26961","Forsyth",2021,21
"26991","Forsyth",2008,37
"26992","Forsyth",2009,20
"26993","Forsyth",2010,51
"26994","Forsyth",2011,74
"26995","Forsyth",2012,57
"26996","Forsyth",2013,9
"26997","Forsyth",2014,27
"26998","Forsyth",2015,53
"26999","Forsyth",2016,44
"27000","Forsyth",2017,20
"27001","Forsyth",2018,36
"27002","Forsyth",2019,30
"27003","Forsyth",2020,22
"27004","Forsyth",2021,23
"27034","Forsyth",2008,40
"27035","Forsyth",2009,21
"27036","Forsyth",2010,52
"27037","Forsyth",2011,74
"27038","Forsyth",2012,57
"27039","Forsyth",2013,9
"27040","Forsyth",2014,26
"27041","Forsyth",2015,53
"27042","Forsyth",2016,44
"27043","Forsyth",2017,20
"27044","Forsyth",2018,37
"27045","Forsyth",2019,33
"27046","Forsyth",2020,22
"27047","Forsyth",2021,23
"27077","Forsyth",2008,40
"27078","Forsyth",2009,21
"27079","Forsyth",2010,52
"27080","Forsyth",2011,74
"27081","Forsyth",2012,57
"27082","Forsyth",2013,9
"27083","Forsyth",2014,26
"27084","Forsyth",2015,53
"27085","Forsyth",2016,44
"27086","Forsyth",2017,20
"27087","Forsyth",2018,37
"27088","Forsyth",2019,33
"27089","Forsyth",2020,22
"27090","Forsyth",2021,23
"27120","Forsyth",2008,40
"27121","Forsyth",2009,21
"27122","Forsyth",2010,52
"27123","Forsyth",2011,74
"27124","Forsyth",2012,57
"27125","Forsyth",2013,9
"27126","Forsyth",2014,26
"27127","Forsyth",2015,53
"27128","Forsyth",2016,44
"27129","Forsyth",2017,20
"27130","Forsyth",2018,37
"27131","Forsyth",2019,33
"27132","Forsyth",2020,22
"27133","Forsyth",2021,23
"27163","Forsyth",2008,33
"27164","Forsyth",2009,12
"27165","Forsyth",2010,45
"27166","Forsyth",2011,69
"27167","Forsyth",2012,55
"27168","Forsyth",2013,9
"27169","Forsyth",2014,26
"27170","Forsyth",2015,52
"27171","Forsyth",2016,39
"27172","Forsyth",2017,16
"27173","Forsyth",2018,32
"27174","Forsyth",2019,25
"27175","Forsyth",2020,20
"27176","Forsyth",2021,19
"27206","Forsyth",2008,33
"27207","Forsyth",2009,12
"27208","Forsyth",2010,45
"27209","Forsyth",2011,69
"27210","Forsyth",2012,55
"27211","Forsyth",2013,9
"27212","Forsyth",2014,26
"27213","Forsyth",2015,52
"27214","Forsyth",2016,39
"27215","Forsyth",2017,16
"27216","Forsyth",2018,32
"27217","Forsyth",2019,25
"27218","Forsyth",2020,20
"27219","Forsyth",2021,19
"27249","Forsyth",2008,32
"27250","Forsyth",2009,12
"27251","Forsyth",2010,45
"27252","Forsyth",2011,70
"27253","Forsyth",2012,54
"27254","Forsyth",2013,9
"27255","Forsyth",2014,26
"27256","Forsyth",2015,49
"27257","Forsyth",2016,38
"27258","Forsyth",2017,16
"27259","Forsyth",2018,29
"27260","Forsyth",2019,24
"27261","Forsyth",2020,19
"27262","Forsyth",2021,17
"27292","Forsyth",2008,32
"27293","Forsyth",2009,12
"27294","Forsyth",2010,45
"27295","Forsyth",2011,70
"27296","Forsyth",2012,54
"27297","Forsyth",2013,9
"27298","Forsyth",2014,26
"27299","Forsyth",2015,49
"27300","Forsyth",2016,38
"27301","Forsyth",2017,16
"27302","Forsyth",2018,29
"27303","Forsyth",2019,24
"27304","Forsyth",2020,19
"27305","Forsyth",2021,17
"27335","Forsyth",2008,33
"27336","Forsyth",2009,14
"27337","Forsyth",2010,46
"27338","Forsyth",2011,71
"27339","Forsyth",2012,55
"27340","Forsyth",2013,9
"27341","Forsyth",2014,26
"27342","Forsyth",2015,52
"27343","Forsyth",2016,39
"27344","Forsyth",2017,17
"27345","Forsyth",2018,35
"27346","Forsyth",2019,25
"27347","Forsyth",2020,20
"27348","Forsyth",2021,19
"27378","Forsyth",2008,36
"27379","Forsyth",2009,19
"27380","Forsyth",2010,49
"27381","Forsyth",2011,72
"27382","Forsyth",2012,55
"27383","Forsyth",2013,8
"27384","Forsyth",2014,27
"27385","Forsyth",2015,53
"27386","Forsyth",2016,43
"27387","Forsyth",2017,19
"27388","Forsyth",2018,36
"27389","Forsyth",2019,27
"27390","Forsyth",2020,21
"27391","Forsyth",2021,21
"27421","Forsyth",2008,36
"27422","Forsyth",2009,19
"27423","Forsyth",2010,49
"27424","Forsyth",2011,72
"27425","Forsyth",2012,55
"27426","Forsyth",2013,8
"27427","Forsyth",2014,27
"27428","Forsyth",2015,53
"27429","Forsyth",2016,43
"27430","Forsyth",2017,19
"27431","Forsyth",2018,36
"27432","Forsyth",2019,27
"27433","Forsyth",2020,21
"27434","Forsyth",2021,21
"27464","Forsyth",2008,36
"27465","Forsyth",2009,19
"27466","Forsyth",2010,49
"27467","Forsyth",2011,72
"27468","Forsyth",2012,55
"27469","Forsyth",2013,8
"27470","Forsyth",2014,27
"27471","Forsyth",2015,53
"27472","Forsyth",2016,43
"27473","Forsyth",2017,19
"27474","Forsyth",2018,36
"27475","Forsyth",2019,27
"27476","Forsyth",2020,21
"27477","Forsyth",2021,21
"27507","Forsyth",2008,36
"27508","Forsyth",2009,19
"27509","Forsyth",2010,49
"27510","Forsyth",2011,72
"27511","Forsyth",2012,55
"27512","Forsyth",2013,8
"27513","Forsyth",2014,27
"27514","Forsyth",2015,53
"27515","Forsyth",2016,43
"27516","Forsyth",2017,19
"27517","Forsyth",2018,36
"27518","Forsyth",2019,27
"27519","Forsyth",2020,21
"27520","Forsyth",2021,21
"27550","Forsyth",2008,36
"27551","Forsyth",2009,19
"27552","Forsyth",2010,49
"27553","Forsyth",2011,72
"27554","Forsyth",2012,55
"27555","Forsyth",2013,8
"27556","Forsyth",2014,27
"27557","Forsyth",2015,53
"27558","Forsyth",2016,43
"27559","Forsyth",2017,19
"27560","Forsyth",2018,36
"27561","Forsyth",2019,27
"27562","Forsyth",2020,21
"27563","Forsyth",2021,21
"27593","Forsyth",2008,40
"27594","Forsyth",2009,21
"27595","Forsyth",2010,52
"27596","Forsyth",2011,74
"27597","Forsyth",2012,57
"27598","Forsyth",2013,9
"27599","Forsyth",2014,26
"27600","Forsyth",2015,53
"27601","Forsyth",2016,44
"27602","Forsyth",2017,20
"27603","Forsyth",2018,37
"27604","Forsyth",2019,33
"27605","Forsyth",2020,22
"27606","Forsyth",2021,23
"27636","Forsyth",2008,40
"27637","Forsyth",2009,21
"27638","Forsyth",2010,52
"27639","Forsyth",2011,74
"27640","Forsyth",2012,57
"27641","Forsyth",2013,9
"27642","Forsyth",2014,26
"27643","Forsyth",2015,53
"27644","Forsyth",2016,44
"27645","Forsyth",2017,20
"27646","Forsyth",2018,37
"27647","Forsyth",2019,33
"27648","Forsyth",2020,22
"27649","Forsyth",2021,23
"27679","Forsyth",2008,40
"27680","Forsyth",2009,21
"27681","Forsyth",2010,52
"27682","Forsyth",2011,74
"27683","Forsyth",2012,57
"27684","Forsyth",2013,9
"27685","Forsyth",2014,26
"27686","Forsyth",2015,53
"27687","Forsyth",2016,44
"27688","Forsyth",2017,20
"27689","Forsyth",2018,37
"27690","Forsyth",2019,33
"27691","Forsyth",2020,22
"27692","Forsyth",2021,23
"27722","Forsyth",2008,40
"27723","Forsyth",2009,21
"27724","Forsyth",2010,52
"27725","Forsyth",2011,74
"27726","Forsyth",2012,57
"27727","Forsyth",2013,9
"27728","Forsyth",2014,26
"27729","Forsyth",2015,53
"27730","Forsyth",2016,44
"27731","Forsyth",2017,20
"27732","Forsyth",2018,37
"27733","Forsyth",2019,33
"27734","Forsyth",2020,22
"27735","Forsyth",2021,23
"27765","Forsyth",2008,40
"27766","Forsyth",2009,21
"27767","Forsyth",2010,52
"27768","Forsyth",2011,74
"27769","Forsyth",2012,57
"27770","Forsyth",2013,9
"27771","Forsyth",2014,26
"27772","Forsyth",2015,53
"27773","Forsyth",2016,44
"27774","Forsyth",2017,20
"27775","Forsyth",2018,37
"27776","Forsyth",2019,33
"27777","Forsyth",2020,22
"27778","Forsyth",2021,23
"27808","Forsyth",2008,40
"27809","Forsyth",2009,21
"27810","Forsyth",2010,52
"27811","Forsyth",2011,74
"27812","Forsyth",2012,57
"27813","Forsyth",2013,9
"27814","Forsyth",2014,26
"27815","Forsyth",2015,53
"27816","Forsyth",2016,44
"27817","Forsyth",2017,20
"27818","Forsyth",2018,37
"27819","Forsyth",2019,33
"27820","Forsyth",2020,22
"27821","Forsyth",2021,23
"27851","Forsyth",2008,35
"27852","Forsyth",2009,16
"27853","Forsyth",2010,47
"27854","Forsyth",2011,71
"27855","Forsyth",2012,56
"27856","Forsyth",2013,9
"27857","Forsyth",2014,26
"27858","Forsyth",2015,53
"27859","Forsyth",2016,43
"27860","Forsyth",2017,18
"27861","Forsyth",2018,35
"27862","Forsyth",2019,25
"27863","Forsyth",2020,22
"27864","Forsyth",2021,19
"27894","Forsyth",2008,33
"27895","Forsyth",2009,12
"27896","Forsyth",2010,45
"27897","Forsyth",2011,69
"27898","Forsyth",2012,55
"27899","Forsyth",2013,9
"27900","Forsyth",2014,26
"27901","Forsyth",2015,52
"27902","Forsyth",2016,39
"27903","Forsyth",2017,16
"27904","Forsyth",2018,32
"27905","Forsyth",2019,25
"27906","Forsyth",2020,20
"27907","Forsyth",2021,19
"27937","Forsyth",2008,33
"27938","Forsyth",2009,12
"27939","Forsyth",2010,45
"27940","Forsyth",2011,69
"27941","Forsyth",2012,55
"27942","Forsyth",2013,9
"27943","Forsyth",2014,26
"27944","Forsyth",2015,52
"27945","Forsyth",2016,39
"27946","Forsyth",2017,16
"27947","Forsyth",2018,32
"27948","Forsyth",2019,25
"27949","Forsyth",2020,20
"27950","Forsyth",2021,19
"27980","Forsyth",2008,33
"27981","Forsyth",2009,12
"27982","Forsyth",2010,45
"27983","Forsyth",2011,69
"27984","Forsyth",2012,55
"27985","Forsyth",2013,9
"27986","Forsyth",2014,26
"27987","Forsyth",2015,52
"27988","Forsyth",2016,39
"27989","Forsyth",2017,16
"27990","Forsyth",2018,32
"27991","Forsyth",2019,25
"27992","Forsyth",2020,20
"27993","Forsyth",2021,19
"28023","Forsyth",2008,33
"28024","Forsyth",2009,12
"28025","Forsyth",2010,45
"28026","Forsyth",2011,69
"28027","Forsyth",2012,55
"28028","Forsyth",2013,9
"28029","Forsyth",2014,26
"28030","Forsyth",2015,52
"28031","Forsyth",2016,39
"28032","Forsyth",2017,16
"28033","Forsyth",2018,32
"28034","Forsyth",2019,25
"28035","Forsyth",2020,20
"28036","Forsyth",2021,19
"28066","Forsyth",2008,35
"28067","Forsyth",2009,12
"28068","Forsyth",2010,46
"28069","Forsyth",2011,69
"28070","Forsyth",2012,56
"28071","Forsyth",2013,9
"28072","Forsyth",2014,25
"28073","Forsyth",2015,52
"28074","Forsyth",2016,41
"28075","Forsyth",2017,16
"28076","Forsyth",2018,33
"28077","Forsyth",2019,26
"28078","Forsyth",2020,21
"28079","Forsyth",2021,21
"28109","Forsyth",2008,33
"28110","Forsyth",2009,12
"28111","Forsyth",2010,45
"28112","Forsyth",2011,69
"28113","Forsyth",2012,55
"28114","Forsyth",2013,9
"28115","Forsyth",2014,26
"28116","Forsyth",2015,52
"28117","Forsyth",2016,39
"28118","Forsyth",2017,16
"28119","Forsyth",2018,32
"28120","Forsyth",2019,25
"28121","Forsyth",2020,20
"28122","Forsyth",2021,19
"28152","Forsyth",2008,33
"28153","Forsyth",2009,12
"28154","Forsyth",2010,45
"28155","Forsyth",2011,69
"28156","Forsyth",2012,55
"28157","Forsyth",2013,9
"28158","Forsyth",2014,26
"28159","Forsyth",2015,52
"28160","Forsyth",2016,39
"28161","Forsyth",2017,16
"28162","Forsyth",2018,32
"28163","Forsyth",2019,25
"28164","Forsyth",2020,20
"28165","Forsyth",2021,19
"28195","Forsyth",2008,33
"28196","Forsyth",2009,12
"28197","Forsyth",2010,45
"28198","Forsyth",2011,69
"28199","Forsyth",2012,55
"28200","Forsyth",2013,9
"28201","Forsyth",2014,26
"28202","Forsyth",2015,52
"28203","Forsyth",2016,39
"28204","Forsyth",2017,16
"28205","Forsyth",2018,32
"28206","Forsyth",2019,25
"28207","Forsyth",2020,20
"28208","Forsyth",2021,19
"28238","Forsyth",2008,33
"28239","Forsyth",2009,12
"28240","Forsyth",2010,45
"28241","Forsyth",2011,69
"28242","Forsyth",2012,55
"28243","Forsyth",2013,9
"28244","Forsyth",2014,26
"28245","Forsyth",2015,52
"28246","Forsyth",2016,39
"28247","Forsyth",2017,16
"28248","Forsyth",2018,32
"28249","Forsyth",2019,25
"28250","Forsyth",2020,20
"28251","Forsyth",2021,19
"28281","Forsyth",2008,33
"28282","Forsyth",2009,12
"28283","Forsyth",2010,45
"28284","Forsyth",2011,69
"28285","Forsyth",2012,55
"28286","Forsyth",2013,9
"28287","Forsyth",2014,26
"28288","Forsyth",2015,52
"28289","Forsyth",2016,39
"28290","Forsyth",2017,16
"28291","Forsyth",2018,32
"28292","Forsyth",2019,25
"28293","Forsyth",2020,20
"28294","Forsyth",2021,19
"28324","Forsyth",2008,32
"28325","Forsyth",2009,12
"28326","Forsyth",2010,45
"28327","Forsyth",2011,70
"28328","Forsyth",2012,54
"28329","Forsyth",2013,9
"28330","Forsyth",2014,26
"28331","Forsyth",2015,49
"28332","Forsyth",2016,38
"28333","Forsyth",2017,16
"28334","Forsyth",2018,29
"28335","Forsyth",2019,24
"28336","Forsyth",2020,19
"28337","Forsyth",2021,17
"28367","Forsyth",2008,32
"28368","Forsyth",2009,12
"28369","Forsyth",2010,45
"28370","Forsyth",2011,70
"28371","Forsyth",2012,54
"28372","Forsyth",2013,9
"28373","Forsyth",2014,26
"28374","Forsyth",2015,49
"28375","Forsyth",2016,38
"28376","Forsyth",2017,16
"28377","Forsyth",2018,29
"28378","Forsyth",2019,24
"28379","Forsyth",2020,19
"28380","Forsyth",2021,17
"28410","Forsyth",2008,32
"28411","Forsyth",2009,12
"28412","Forsyth",2010,45
"28413","Forsyth",2011,70
"28414","Forsyth",2012,54
"28415","Forsyth",2013,9
"28416","Forsyth",2014,26
"28417","Forsyth",2015,49
"28418","Forsyth",2016,38
"28419","Forsyth",2017,16
"28420","Forsyth",2018,29
"28421","Forsyth",2019,24
"28422","Forsyth",2020,19
"28423","Forsyth",2021,17
"28453","Forsyth",2008,32
"28454","Forsyth",2009,12
"28455","Forsyth",2010,45
"28456","Forsyth",2011,70
"28457","Forsyth",2012,54
"28458","Forsyth",2013,9
"28459","Forsyth",2014,26
"28460","Forsyth",2015,49
"28461","Forsyth",2016,38
"28462","Forsyth",2017,16
"28463","Forsyth",2018,29
"28464","Forsyth",2019,24
"28465","Forsyth",2020,19
"28466","Forsyth",2021,17
"28496","Forsyth",2008,33
"28497","Forsyth",2009,14
"28498","Forsyth",2010,46
"28499","Forsyth",2011,71
"28500","Forsyth",2012,55
"28501","Forsyth",2013,9
"28502","Forsyth",2014,26
"28503","Forsyth",2015,52
"28504","Forsyth",2016,39
"28505","Forsyth",2017,17
"28506","Forsyth",2018,35
"28507","Forsyth",2019,25
"28508","Forsyth",2020,20
"28509","Forsyth",2021,18
"28539","Forsyth",2008,35
"28540","Forsyth",2009,20
"28541","Forsyth",2010,49
"28542","Forsyth",2011,75
"28543","Forsyth",2012,55
"28544","Forsyth",2013,8
"28545","Forsyth",2014,27
"28546","Forsyth",2015,53
"28547","Forsyth",2016,43
"28548","Forsyth",2017,19
"28549","Forsyth",2018,38
"28550","Forsyth",2019,27
"28551","Forsyth",2020,21
"28552","Forsyth",2021,21
"28582","Forsyth",2008,32
"28583","Forsyth",2009,13
"28584","Forsyth",2010,47
"28585","Forsyth",2011,71
"28586","Forsyth",2012,55
"28587","Forsyth",2013,10
"28588","Forsyth",2014,28
"28589","Forsyth",2015,52
"28590","Forsyth",2016,39
"28591","Forsyth",2017,16
"28592","Forsyth",2018,36
"28593","Forsyth",2019,25
"28594","Forsyth",2020,21
"28595","Forsyth",2021,18
"28625","Forsyth",2008,32
"28626","Forsyth",2009,12
"28627","Forsyth",2010,45
"28628","Forsyth",2011,70
"28629","Forsyth",2012,54
"28630","Forsyth",2013,9
"28631","Forsyth",2014,28
"28632","Forsyth",2015,50
"28633","Forsyth",2016,39
"28634","Forsyth",2017,16
"28635","Forsyth",2018,34
"28636","Forsyth",2019,25
