"","County","Year","Days.with.AQI","Median.AQI","Max.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days"
"236","Guilford",2015,364,41,112,287,76,1,0,0,0
"237","Haywood",2015,266,44,101,200,65,1,0,0,0
"238","Hyde",2015,111,21,61,108,3,0,0,0,0
"239","Jackson",2015,257,43,100,199,58,0,0,0,0
"240","Johnston",2015,262,39,93,224,38,0,0,0,0
"241","Lee",2015,364,44,93,248,116,0,0,0,0
"242","Lenoir",2015,209,41,80,185,24,0,0,0,0
"243","Lincoln",2015,208,44,112,158,49,1,0,0,0
"244","Macon",2015,352,32,80,335,17,0,0,0,0
"245","Martin",2015,351,39,71,310,41,0,0,0,0
"246","McDowell",2015,337,31,88,293,44,0,0,0,0
"247","Mecklenburg",2015,365,44,129,245,111,9,0,0,0
"248","Mitchell",2015,120,29,59,111,9,0,0,0,0
"249","Montgomery",2015,362,40,80,306,56,0,0,0,0
"250","New Hanover",2015,354,33,71,326,28,0,0,0,0
"251","Person",2015,215,42,77,170,45,0,0,0,0
"252","Pitt",2015,258,39,80,225,33,0,0,0,0
"253","Rockingham",2015,214,44,112,164,49,1,0,0,0
"254","Rowan",2015,358,45,122,223,134,1,0,0,0
"255","Swain",2015,360,36,87,298,62,0,0,0,0
"256","Union",2015,209,44,101,153,55,1,0,0,0
"257","Wake",2015,365,45,105,233,129,3,0,0,0
"258","Watauga",2015,226,23,83,208,18,0,0,0,0
"259","Wayne",2015,197,43,86,126,71,0,0,0,0
"260","Yancey",2015,192,45,97,136,56,0,0,0,0
"261","Alamance",2014,365,35,73,308,57,0,0,0,0
"262","Alexander",2014,214,40,97,190,24,0,0,0,0
"263","Avery",2014,363,40,90,327,36,0,0,0,0
"264","Buncombe",2014,364,37,93,304,60,0,0,0,0
"265","Caldwell",2014,211,38,100,194,17,0,0,0,0
"266","Carteret",2014,341,37,93,315,26,0,0,0,0
"267","Caswell",2014,357,44,97,236,121,0,0,0,0
"268","Catawba",2014,363,35,85,301,62,0,0,0,0
"269","Chatham",2014,258,37,87,238,20,0,0,0,0
"270","Cumberland",2014,314,43,97,225,89,0,0,0,0
"271","Davidson",2014,341,43,81,237,104,0,0,0,0
"272","Davie",2014,214,44,105,165,48,1,0,0,0
"273","Duplin",2014,303,41,82,210,93,0,0,0,0
"274","Durham",2014,365,40,90,302,63,0,0,0,0
"275","Edgecombe",2014,294,36,84,254,40,0,0,0,0
"276","Forsyth",2014,365,47,100,237,128,0,0,0,0
"277","Franklin",2014,212,40,84,190,22,0,0,0,0
"278","Gaston",2014,351,33,73,303,48,0,0,0,0
