"","County","Year","Count_ExHeat_Days","NC_Annual_Agv_ExHeatDays"
"277","Cherokee",2018,0,26.5
"278","Cherokee",2019,0,34.61
"279","Cherokee",2020,0,20.97
"280","Cherokee",2021,0,20.6
"281","Chowan",2008,45,30.37
"282","Chowan",2009,44,39.34
"283","Chowan",2010,65,52.17
"284","Chowan",2011,69,57.02
"285","Chowan",2012,42,38.38
"286","Chowan",2013,19,9.82
"287","Chowan",2014,42,29.04
"288","Chowan",2015,40,35.98
"289","Chowan",2016,37,35
"290","Chowan",2017,18,18.68
"291","Chowan",2018,22,26.5
"292","Chowan",2019,48,34.61
"293","Chowan",2020,31,20.97
"294","Chowan",2021,23,20.6
"295","Clay",2008,0,30.37
"296","Clay",2009,2,39.34
"297","Clay",2010,0,52.17
"298","Clay",2011,0,57.02
"299","Clay",2012,1,38.38
"300","Clay",2013,0,9.82
"301","Clay",2014,0,29.04
"302","Clay",2015,0,35.98
"303","Clay",2016,0,35
"304","Clay",2017,0,18.68
"305","Clay",2018,0,26.5
"306","Clay",2019,0,34.61
"307","Clay",2020,0,20.97
"308","Clay",2021,0,20.6
"309","Cleveland",2008,52,30.37
"310","Cleveland",2009,49,39.34
"311","Cleveland",2010,63,52.17
"312","Cleveland",2011,81,57.02
"313","Cleveland",2012,49,38.38
"314","Cleveland",2013,5,9.82
"315","Cleveland",2014,18,29.04
"316","Cleveland",2015,57,35.98
"317","Cleveland",2016,53,35
"318","Cleveland",2017,23,18.68
"319","Cleveland",2018,35,26.5
"320","Cleveland",2019,41,34.61
"321","Cleveland",2020,22,20.97
"322","Cleveland",2021,25,20.6
"323","Columbus",2008,32,30.37
"324","Columbus",2009,84,39.34
"325","Columbus",2010,87,52.17
"326","Columbus",2011,80,57.02
"327","Columbus",2012,47,38.38
"328","Columbus",2013,10,9.82
"329","Columbus",2014,52,29.04
"330","Columbus",2015,44,35.98
"331","Columbus",2016,47,35
"332","Columbus",2017,26,18.68
"333","Columbus",2018,35,26.5
"334","Columbus",2019,53,34.61
"335","Columbus",2020,26,20.97
"336","Columbus",2021,27,20.6
"337","Craven",2008,27,30.37
"338","Craven",2009,52,39.34
"339","Craven",2010,55,52.17
"340","Craven",2011,51,57.02
"341","Craven",2012,28,38.38
"342","Craven",2013,7,9.82
"343","Craven",2014,27,29.04
"344","Craven",2015,26,35.98
"345","Craven",2016,27,35
"346","Craven",2017,12,18.68
"347","Craven",2018,11,26.5
"348","Craven",2019,37,34.61
"349","Craven",2020,18,20.97
"350","Craven",2021,10,20.6
"351","Cumberland",2008,37,30.37
"352","Cumberland",2009,89,39.34
"353","Cumberland",2010,91,52.17
"354","Cumberland",2011,86,57.02
"355","Cumberland",2012,58,38.38
"356","Cumberland",2013,12,9.82
"357","Cumberland",2014,61,29.04
"358","Cumberland",2015,59,35.98
"359","Cumberland",2016,61,35
"360","Cumberland",2017,36,18.68
"361","Cumberland",2018,52,26.5
"362","Cumberland",2019,66,34.61
"363","Cumberland",2020,40,20.97
"364","Cumberland",2021,43,20.6
"365","Currituck",2008,7,30.37
"366","Currituck",2009,4,39.34
"367","Currituck",2010,12,52.17
"368","Currituck",2011,15,57.02
"369","Currituck",2012,12,38.38
"370","Currituck",2013,1,9.82
"371","Currituck",2014,7,29.04
"372","Currituck",2015,3,35.98
"373","Currituck",2016,4,35
"374","Currituck",2017,0,18.68
"375","Currituck",2018,1,26.5
"376","Currituck",2019,3,34.61
"377","Currituck",2020,2,20.97
"378","Currituck",2021,1,20.6
"379","Dare",2008,0,30.37
"380","Dare",2009,0,39.34
"381","Dare",2010,0,52.17
"382","Dare",2011,0,57.02
"383","Dare",2012,0,38.38
"384","Dare",2013,0,9.82
"385","Dare",2014,0,29.04
"386","Dare",2015,0,35.98
"387","Dare",2016,0,35
"388","Dare",2017,0,18.68
"389","Dare",2018,0,26.5
"390","Dare",2019,0,34.61
"391","Dare",2020,0,20.97
"392","Dare",2021,0,20.6
"393","Davidson",2008,45,30.37
"394","Davidson",2009,34,39.34
"395","Davidson",2010,59,52.17
"396","Davidson",2011,83,57.02
"397","Davidson",2012,59,38.38
"398","Davidson",2013,9,9.82
"399","Davidson",2014,28,29.04
"400","Davidson",2015,59,35.98
"401","Davidson",2016,55,35
"402","Davidson",2017,26,18.68
"403","Davidson",2018,44,26.5
"404","Davidson",2019,38,34.61
"405","Davidson",2020,27,20.97
"406","Davidson",2021,26,20.6
"407","Davie",2008,45,30.37
"408","Davie",2009,27,39.34
"409","Davie",2010,56,52.17
"410","Davie",2011,80,57.02
"411","Davie",2012,56,38.38
"412","Davie",2013,8,9.82
"413","Davie",2014,25,29.04
"414","Davie",2015,60,35.98
"415","Davie",2016,56,35
"416","Davie",2017,24,18.68
"417","Davie",2018,41,26.5
"418","Davie",2019,40,34.61
"419","Davie",2020,24,20.97
"420","Davie",2021,26,20.6
"421","Duplin",2008,36,30.37
"422","Duplin",2009,80,39.34
"423","Duplin",2010,83,52.17
"424","Duplin",2011,72,57.02
"425","Duplin",2012,47,38.38
"426","Duplin",2013,8,9.82
"427","Duplin",2014,43,29.04
"428","Duplin",2015,38,35.98
"429","Duplin",2016,47,35
"430","Duplin",2017,20,18.68
"431","Duplin",2018,21,26.5
"432","Duplin",2019,57,34.61
"433","Duplin",2020,33,20.97
"434","Duplin",2021,28,20.6
"435","Durham",2008,43,30.37
"436","Durham",2009,51,39.34
"437","Durham",2010,81,52.17
"438","Durham",2011,88,57.02
"439","Durham",2012,59,38.38
"440","Durham",2013,23,9.82
"441","Durham",2014,56,29.04
"442","Durham",2015,61,35.98
"443","Durham",2016,54,35
"444","Durham",2017,40,18.68
"445","Durham",2018,54,26.5
"446","Durham",2019,52,34.61
"447","Durham",2020,36,20.97
"448","Durham",2021,37,20.6
"449","Edgecombe",2008,46,30.37
"450","Edgecombe",2009,56,39.34
"451","Edgecombe",2010,80,52.17
"452","Edgecombe",2011,73,57.02
"453","Edgecombe",2012,51,38.38
"454","Edgecombe",2013,25,9.82
"455","Edgecombe",2014,55,29.04
"456","Edgecombe",2015,49,35.98
"457","Edgecombe",2016,46,35
"458","Edgecombe",2017,26,18.68
"459","Edgecombe",2018,35,26.5
"460","Edgecombe",2019,62,34.61
"461","Edgecombe",2020,36,20.97
"462","Edgecombe",2021,34,20.6
"463","Forsyth",2008,37,30.37
"464","Forsyth",2009,19,39.34
"465","Forsyth",2010,49,52.17
"466","Forsyth",2011,71,57.02
"467","Forsyth",2012,56,38.38
"468","Forsyth",2013,9,9.82
"469","Forsyth",2014,26,29.04
"470","Forsyth",2015,53,35.98
"471","Forsyth",2016,44,35
"472","Forsyth",2017,19,18.68
"473","Forsyth",2018,35,26.5
"474","Forsyth",2019,28,34.61
"475","Forsyth",2020,22,20.97
"476","Forsyth",2021,21,20.6
"477","Franklin",2008,44,30.37
"478","Franklin",2009,43,39.34
"479","Franklin",2010,80,52.17
"480","Franklin",2011,83,57.02
"481","Franklin",2012,56,38.38
"482","Franklin",2013,23,9.82
"483","Franklin",2014,50,29.04
"484","Franklin",2015,55,35.98
"485","Franklin",2016,50,35
"486","Franklin",2017,36,18.68
"487","Franklin",2018,47,26.5
"488","Franklin",2019,51,34.61
"489","Franklin",2020,33,20.97
"490","Franklin",2021,32,20.6
"491","Gaston",2008,56,30.37
"492","Gaston",2009,61,39.34
"493","Gaston",2010,77,52.17
"494","Gaston",2011,86,57.02
"495","Gaston",2012,56,38.38
"496","Gaston",2013,8,9.82
"497","Gaston",2014,25,29.04
"498","Gaston",2015,67,35.98
"499","Gaston",2016,69,35
