"","State","County","Date","Avg_Monthly_Temp"
"186","North Carolina","Orange","May 2016",75.641935483871
"187","North Carolina","Orange","June 2016",85.99
"188","North Carolina","Orange","July 2016",91.5935483870968
"189","North Carolina","Orange","August 2016",89.2741935483871
"190","North Carolina","Orange","September 2016",84.3933333333333
"191","North Carolina","Orange","May 2017",78.3838709677419
"192","North Carolina","Orange","June 2017",85.03
"193","North Carolina","Orange","July 2017",90.4903225806452
"194","North Carolina","Orange","August 2017",86.7645161290323
"195","North Carolina","Orange","September 2017",83.0266666666667
"196","North Carolina","Orange","May 2018",82.7032258064516
"197","North Carolina","Orange","June 2018",88.31
"198","North Carolina","Orange","July 2018",89.6096774193548
"199","North Carolina","Orange","August 2018",88.3129032258065
"200","North Carolina","Orange","September 2018",85.0266666666667
"201","North Carolina","Orange","May 2019",82.3806451612903
"202","North Carolina","Orange","June 2019",84.4166666666667
"203","North Carolina","Orange","July 2019",89.8354838709677
"204","North Carolina","Orange","August 2019",87.7096774193548
"205","North Carolina","Orange","September 2019",87.4433333333333
"206","North Carolina","Orange","May 2020",72.6064516129032
"207","North Carolina","Orange","June 2020",83.2266666666667
"208","North Carolina","Orange","July 2020",90.9193548387097
"209","North Carolina","Orange","August 2020",87.4806451612903
"210","North Carolina","Orange","September 2020",79.4133333333333
"211","North Carolina","Orange","May 2021",75.2935483870968
"212","North Carolina","Orange","June 2021",84.4166666666667
"213","North Carolina","Orange","July 2021",88.5774193548387
"214","North Carolina","Orange","August 2021",89.3258064516129
"215","North Carolina","Orange","September 2021",82.33
